,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
201,1,0,3.8,242,30,20,1089,650.0,5047
203,1,0,4.1,163,4,62,684,500.0,5047
204,1,0,4.2,191,4,62,1636,250.0,3959
205,1,0,3.5,32,1,62,1486,150.0,5047
206,1,0,2.5,247,1,20,1156,500.0,5047
207,1,1,4.1,2339,30,20,1206,1500.0,5047
208,1,0,4.1,337,30,62,547,300.0,5047
209,1,0,3.9,135,1,20,1222,800.0,5047
210,1,0,3.6,172,79,20,1196,700.0,5047
211,1,0,3.6,105,1,20,1678,700.0,5047
212,1,0,4.2,504,1,13,485,550.0,5047
217,1,1,4.3,1129,30,20,1009,1300.0,5047
219,1,0,4.3,860,1,30,789,500.0,5047
220,1,0,3.8,412,30,20,77,700.0,5047
221,1,1,3.9,142,30,20,1093,1000.0,5047
223,1,0,3.6,143,30,20,1554,750.0,5047
226,1,0,4.4,181,30,9,231,250.0,5047
227,1,0,3.8,70,30,62,1451,200.0,5047
228,1,0,3.8,164,4,62,1476,600.0,5047
229,1,0,3.6,58,46,62,366,650.0,5047
230,0,0,3.8,148,4,22,1194,550.0,5047
231,0,0,3.9,206,4,62,1585,450.0,5047
235,0,0,3.7,217,4,20,1281,450.0,5047
237,0,0,3.8,148,4,62,873,150.0,5047
248,1,0,2.9,177,30,20,1211,700.0,5047
251,1,0,3.7,136,1,62,1507,600.0,5047
253,1,0,4.1,185,30,62,1022,200.0,5047
255,1,0,3.8,155,54,20,1597,400.0,5047
256,1,0,3.8,42,1,62,1589,300.0,2891
257,1,0,3.8,286,4,20,1156,600.0,5047
258,1,0,3.8,160,1,20,1196,700.0,5047
259,1,0,3.8,59,1,20,1196,750.0,5047
262,1,0,4.0,89,30,62,1551,200.0,5047
264,1,0,3.9,40,4,20,1280,600.0,5047
265,1,0,2.5,35,4,62,817,200.0,5047
268,1,0,3.6,62,1,65,985,600.0,5047
271,1,0,4.1,139,30,20,1277,550.0,5047
274,1,0,3.7,237,1,62,1571,200.0,3163
275,1,0,3.9,388,1,20,299,650.0,5047
277,1,0,3.9,128,46,20,1568,500.0,103
278,1,1,4.1,1875,30,20,1159,1200.0,5047
279,1,0,3.8,90,1,13,332,650.0,5047
282,1,0,4.2,179,1,29,1465,600.0,5047
284,1,0,4.3,275,4,62,1547,100.0,2701
285,1,0,3.7,323,30,20,609,850.0,5047
290,1,0,4.3,322,30,20,1547,400.0,5047
291,1,0,2.6,157,30,13,346,450.0,5047
292,1,0,3.9,543,4,62,1571,300.0,2710
293,1,0,3.7,180,1,13,496,500.0,5047
294,1,0,4.2,444,4,62,1547,100.0,3895
295,1,0,3.9,134,30,62,1647,400.0,4179
296,1,0,3.8,577,30,20,1421,900.0,5047
298,1,0,3.9,144,30,20,1268,550.0,5047
299,1,0,4.1,787,1,20,594,800.0,5047
301,1,0,3.6,84,1,62,1589,250.0,110
303,1,1,4.0,349,1,20,1519,1200.0,5047
304,1,0,3.7,248,46,62,1327,400.0,5047
305,1,0,4.1,216,4,13,391,500.0,5047
307,1,0,4.0,324,1,13,462,700.0,5047
308,1,0,2.6,231,46,62,1270,400.0,4439
309,1,0,3.4,102,79,20,1591,400.0,743
310,1,0,3.9,133,1,13,441,800.0,5047
311,1,0,2.8,45,1,20,1483,800.0,5047
313,1,0,3.8,75,1,62,836,200.0,5047
314,1,0,4.0,53,63,29,1113,600.0,5047
315,1,1,4.2,815,30,20,1196,900.0,5047
316,1,1,4.0,633,1,20,1196,800.0,5047
317,1,0,3.5,56,30,30,958,400.0,5047
322,1,0,3.9,70,1,30,846,400.0,5047
323,1,0,3.9,91,30,13,439,300.0,5047
330,1,0,3.8,77,46,13,401,650.0,5047
333,1,0,3.8,210,46,20,1235,600.0,5047
334,1,0,4.1,130,30,13,473,650.0,5047
335,1,0,4.1,30,30,9,231,100.0,5047
336,1,0,3.8,144,1,13,533,700.0,5047
338,1,0,3.7,133,30,20,607,700.0,5047
339,1,0,4.0,136,30,62,1571,350.0,1680
342,1,0,3.8,74,4,62,1589,300.0,5047
346,1,0,3.7,54,4,13,359,600.0,5047
350,1,0,3.4,58,4,13,436,400.0,5047
351,1,0,3.6,129,1,20,1091,600.0,5047
355,1,0,3.5,41,75,44,1475,400.0,5047
357,1,0,4.1,176,4,20,68,800.0,5047
359,1,0,3.7,47,30,66,844,400.0,5047
360,1,1,3.7,36,30,20,586,650.0,5047
374,1,0,3.9,101,4,62,1547,150.0,5047
375,1,1,4.1,442,30,60,692,1200.0,5047
390,1,0,3.8,53,30,62,953,250.0,5047
395,1,0,4.0,232,30,62,1561,400.0,5047
396,1,0,3.9,221,30,20,521,700.0,5047
397,1,1,4.1,1063,30,21,987,1200.0,5047
398,1,0,3.7,93,4,62,1628,200.0,5047
399,1,0,3.9,233,30,20,1007,800.0,5047
400,1,0,3.9,211,30,20,840,500.0,5047
401,1,0,4.0,1778,30,62,1444,200.0,43
402,1,0,3.6,218,82,20,1277,800.0,5047
403,1,0,3.7,514,4,13,458,600.0,5047
404,1,1,4.0,866,30,20,1296,900.0,5047
405,1,0,3.2,96,46,62,1156,400.0,5047
406,1,0,3.5,80,1,62,1670,250.0,5047
407,1,0,4.0,73,4,0,194,300.0,3025
408,1,0,3.9,84,30,69,1121,400.0,5047
409,1,0,3.5,88,1,62,1592,350.0,5047
410,1,0,3.5,179,1,20,1208,600.0,5047
411,1,0,3.8,61,4,62,1021,100.0,5047
412,1,0,3.7,128,79,20,1220,450.0,5047
413,1,0,3.8,339,30,62,1589,400.0,740
414,1,0,4.1,449,4,62,1628,100.0,5047
415,1,0,4.1,210,30,32,210,150.0,5047
417,1,0,3.0,213,1,62,1428,400.0,5047
418,1,0,3.2,208,30,12,1652,250.0,4095
419,1,0,3.8,70,1,62,1547,100.0,131
420,1,0,4.0,219,4,13,455,600.0,5047
421,1,0,3.7,59,1,62,1451,200.0,5047
424,1,0,3.7,124,46,20,292,750.0,5047
456,1,1,4.1,775,1,20,1386,800.0,5047
457,1,1,4.2,2022,30,20,1416,1000.0,5047
460,1,1,4.2,150,1,13,462,600.0,1390
461,1,0,4.0,232,4,20,1196,750.0,5047
464,1,1,3.5,431,30,20,1156,800.0,5047
465,1,1,4.2,2115,1,20,1481,800.0,5047
467,1,0,4.2,150,30,20,1156,800.0,1664
469,1,0,3.8,155,30,20,1597,450.0,5047
471,1,1,4.1,666,30,21,50,1000.0,5047
473,1,0,3.9,240,4,13,332,700.0,5047
474,1,0,3.8,918,1,16,484,800.0,5047
475,1,0,4.0,465,30,20,1597,600.0,2731
476,1,1,4.1,970,30,54,1313,1500.0,5047
477,1,0,3.3,128,1,62,1196,300.0,5047
478,1,0,3.6,241,46,62,1196,300.0,5047
480,1,0,4.3,734,1,62,1597,200.0,3169
481,1,0,3.8,130,30,62,1181,400.0,5047
482,1,0,4.2,261,30,13,389,700.0,5047
483,1,0,4.0,191,46,62,1598,300.0,130
484,1,0,4.1,364,4,20,1566,550.0,133
487,1,0,3.9,888,1,20,1434,750.0,2724
489,1,0,3.9,750,4,20,1277,500.0,3359
490,1,1,4.2,164,1,13,380,500.0,5047
493,1,0,3.8,527,4,20,1156,500.0,5047
494,0,0,4.3,345,1,30,956,400.0,5047
495,0,0,4.4,356,1,69,1116,150.0,5047
497,1,0,3.9,38,1,30,949,150.0,1817
502,1,0,3.9,116,1,30,959,400.0,2645
503,1,0,3.8,918,1,16,484,800.0,5047
506,1,0,3.8,144,1,13,533,700.0,5047
508,1,0,4.3,860,1,30,789,500.0,5047
518,0,0,3.8,45,1,72,175,400.0,5047
533,1,0,3.9,70,1,30,846,400.0,5047
535,0,0,4.0,98,4,70,1123,400.0,5047
537,1,0,4.0,219,4,13,455,600.0,4811
538,1,0,4.0,73,4,0,194,300.0,3025
547,1,0,2.7,97,4,20,1597,400.0,5047
554,1,0,3.9,888,1,20,1434,750.0,2723
555,1,1,4.0,349,1,20,1519,1200.0,1161
556,1,0,4.2,287,1,62,1156,350.0,5047
557,1,1,4.6,2556,1,22,1468,600.0,5047
558,1,1,4.2,354,1,20,151,800.0,631
559,1,1,4.1,775,1,20,1386,800.0,5047
560,1,1,4.2,2115,1,20,1481,800.0,5047
561,0,1,3.8,977,1,46,878,1300.0,5047
562,0,0,4.1,868,1,57,704,1200.0,5047
563,1,0,4.0,324,1,13,462,700.0,4464
564,1,0,4.1,787,1,20,594,800.0,5047
565,1,0,4.2,504,1,13,485,550.0,921
566,1,0,4.1,402,1,13,332,500.0,3421
567,1,1,4.2,150,1,13,462,600.0,1391
568,1,1,4.2,164,1,13,380,500.0,2020
569,0,0,4.2,244,1,20,1000,800.0,5047
570,1,0,4.0,771,1,20,1589,450.0,4549
571,1,0,4.2,1647,1,20,609,600.0,5047
572,0,1,4.0,808,1,20,1196,850.0,5047
573,0,0,4.0,424,1,13,383,450.0,5047
574,1,0,3.9,135,1,20,1222,800.0,3649
577,1,0,3.8,918,1,16,484,800.0,5047
578,1,0,3.8,90,1,13,332,650.0,5047
579,1,0,3.9,519,1,20,561,900.0,5047
580,1,0,3.6,105,1,20,1678,700.0,5047
583,1,0,3.9,133,1,13,441,800.0,1303
584,1,0,3.8,144,1,13,533,700.0,5047
585,0,0,3.9,93,1,13,456,300.0,5047
586,1,0,3.8,42,1,62,1589,300.0,2891
587,1,0,2.5,247,1,20,1156,500.0,2854
590,1,0,3.0,62,1,13,444,400.0,2412
591,1,0,3.8,160,1,20,1196,700.0,4051
595,1,0,3.6,129,1,20,1091,600.0,1332
597,0,0,3.3,62,1,4,1589,800.0,5047
601,0,0,2.6,283,1,20,1156,600.0,5047
605,1,0,3.8,59,1,20,1196,750.0,5047
606,1,0,3.5,179,1,20,1208,600.0,3594
607,0,0,3.8,62,1,62,1561,150.0,5047
615,0,0,3.0,98,1,4,1196,800.0,5047
618,0,0,2.7,128,1,20,604,850.0,5047
620,1,0,2.8,45,1,20,1483,800.0,2158
629,1,0,3.5,41,75,44,1475,400.0,5047
630,1,0,3.7,405,1,20,1474,750.0,4226
631,1,0,3.9,388,1,20,299,650.0,959
632,0,0,4.7,651,1,62,1547,100.0,5047
634,1,0,4.3,734,1,62,1597,200.0,4698
636,0,0,4.0,1047,1,62,980,450.0,5047
637,1,0,3.8,505,1,62,322,450.0,669
639,1,0,3.9,264,1,62,1547,200.0,3221
642,1,0,3.9,286,1,62,322,500.0,3384
643,0,0,4.4,343,1,62,1547,100.0,5047
647,0,0,3.8,70,1,62,821,500.0,5047
649,1,0,3.8,70,1,62,1547,100.0,132
654,1,0,3.7,237,1,62,1571,200.0,2040
656,1,0,4.1,201,1,62,1597,300.0,1913
657,1,0,2.8,506,1,62,1332,500.0,5047
658,0,0,4.1,520,1,62,248,300.0,5047
661,0,0,3.7,88,1,62,1587,300.0,5047
663,1,0,3.7,136,1,62,1507,600.0,865
666,0,0,3.9,88,1,62,1547,250.0,5047
672,0,0,3.8,189,1,62,1547,300.0,5047
676,0,0,3.8,39,1,62,1563,350.0,5047
677,1,0,3.9,540,1,62,1474,800.0,3122
678,0,0,3.6,71,1,62,1416,250.0,5047
686,1,0,3.5,88,1,62,1592,350.0,1037
690,1,0,3.0,87,1,62,1476,600.0,3490
694,1,0,4.2,415,1,62,1190,500.0,1023
695,1,0,3.3,128,1,62,1196,300.0,1864
696,0,0,4.1,94,1,62,1547,100.0,5047
698,0,0,3.7,65,1,62,873,300.0,5047
701,0,0,3.5,52,1,62,1547,300.0,5047
703,1,0,3.0,290,1,62,1215,450.0,65
704,1,0,3.7,59,1,62,1451,200.0,5047
705,0,0,3.7,130,1,62,1547,200.0,5047
708,1,0,3.5,80,1,62,1670,250.0,4264
709,1,0,3.9,441,1,62,1592,400.0,2010
760,1,0,3.6,84,1,62,1589,250.0,744
761,0,0,4.0,42,1,62,1615,300.0,5047
763,1,0,3.0,213,1,62,1428,400.0,4368
766,0,0,4.2,725,30,62,1552,350.0,5047
767,1,0,3.9,750,4,20,1277,500.0,3317
768,0,0,3.8,166,4,20,1406,600.0,5047
769,0,0,4.4,4460,4,62,1547,150.0,5047
770,0,0,3.9,153,4,20,1547,350.0,5047
771,1,0,3.8,469,4,20,1208,750.0,1784
772,1,0,4.1,364,4,20,1566,550.0,4743
773,1,0,3.8,286,4,20,1156,600.0,3567
774,1,0,3.8,527,4,20,1156,500.0,417
775,1,0,3.9,101,4,62,1547,150.0,3893
776,1,0,4.1,558,4,62,1547,150.0,5047
778,0,0,3.8,148,4,22,1194,550.0,5047
779,0,0,2.7,377,4,57,1292,1100.0,5047
780,0,0,3.9,206,4,62,1585,450.0,5047
782,0,0,3.9,100,4,62,1589,300.0,5047
783,1,0,4.2,444,4,62,1547,100.0,3896
784,0,0,3.9,133,4,20,979,650.0,5047
785,1,0,4.0,219,4,13,455,600.0,4811
786,0,0,4.2,253,4,62,1547,250.0,5047
788,0,0,3.7,61,4,20,310,600.0,5047
789,1,0,3.8,155,54,20,1575,400.0,4183
790,1,0,3.9,233,30,20,1007,800.0,884
791,1,0,3.7,264,54,20,1212,750.0,3538
793,0,0,4.1,238,4,62,1547,600.0,5047
797,1,0,4.1,176,4,20,68,800.0,3310
798,1,0,3.7,93,4,62,1628,200.0,1735
799,0,0,3.8,124,4,62,1574,300.0,5047
800,1,0,4.3,275,4,62,1547,100.0,5047
801,0,0,4.2,254,4,62,1547,150.0,5047
802,0,0,4.1,177,4,62,1547,100.0,5047
804,1,0,4.0,132,4,62,817,200.0,5047
806,1,0,3.8,74,4,62,1589,300.0,4411
808,1,0,3.6,172,79,20,1196,700.0,5047
811,1,0,3.9,543,4,62,1571,300.0,5047
812,0,0,4.0,52,4,62,1547,300.0,5047
813,0,0,3.7,217,4,20,1281,450.0,5047
817,0,0,3.9,111,4,20,1258,700.0,5047
818,1,0,3.8,133,4,62,1636,200.0,4542
819,0,0,3.8,39,30,62,1587,250.0,5047
820,0,0,4.0,64,4,62,1547,200.0,5047
827,0,0,3.8,148,4,62,873,150.0,5047
830,0,0,3.8,55,75,44,595,300.0,5047
855,0,1,3.8,977,1,46,878,1300.0,5047
856,0,0,4.1,868,1,57,704,1200.0,5047
858,0,0,3.3,62,1,4,1589,800.0,5047
861,0,0,3.0,98,1,4,1196,800.0,5047
862,0,0,2.7,377,4,57,1292,1100.0,5047
863,1,1,4.4,2487,3,57,1343,900.0,5047
864,1,1,4.2,1964,3,20,87,1000.0,462
865,1,0,4.3,3178,3,20,1402,750.0,2897
866,1,0,3.3,455,3,20,50,550.0,2415
868,0,1,4.7,3845,28,20,1325,1600.0,5047
869,0,0,4.3,353,28,20,1416,1200.0,5047
870,0,1,4.1,1234,28,20,1423,800.0,5047
871,1,1,4.1,1538,28,20,165,1000.0,1380
873,1,1,3.8,756,28,20,1156,1000.0,5047
874,1,1,4.0,347,28,20,1295,1000.0,5047
876,0,1,4.0,165,28,20,1592,1000.0,5047
877,0,0,3.3,177,28,20,1222,950.0,5047
879,1,0,3.0,102,0,20,1589,600.0,2804
881,0,1,4.0,200,3,13,383,700.0,5047
882,1,0,3.9,102,3,13,352,450.0,4863
884,1,0,3.7,171,3,13,332,300.0,1176
885,1,0,3.7,37,3,13,359,400.0,2933
886,1,0,3.9,40,3,41,442,400.0,621
887,0,0,3.9,125,3,13,446,500.0,5047
888,1,0,3.9,49,3,13,332,600.0,1778
890,0,0,3.8,69,3,14,350,700.0,5047
893,0,0,3.9,78,3,13,332,350.0,5047
895,1,0,2.7,48,3,65,549,650.0,3406
902,1,0,4.1,46,28,13,502,600.0,4573
903,0,0,4.0,129,28,13,383,600.0,5047
905,1,1,3.9,727,28,13,416,800.0,397
907,0,0,4.1,521,28,13,404,550.0,5047
908,1,0,4.1,203,28,65,366,650.0,314
909,1,1,4.4,4381,28,22,1468,600.0,2241
910,1,0,3.7,131,28,13,504,400.0,2740
912,1,0,3.7,46,28,13,318,450.0,4884
915,0,0,3.4,48,28,13,436,550.0,5047
919,1,0,3.7,127,28,13,467,700.0,512
920,1,0,2.7,85,28,13,496,500.0,3094
922,1,0,4.5,1178,0,29,930,500.0,5047
923,1,0,3.7,335,0,20,65,800.0,5047
924,1,0,3.8,254,0,20,282,800.0,2463
927,1,0,4.1,63,28,72,869,300.0,2211
928,1,0,4.0,244,0,62,202,400.0,5047
932,1,0,2.9,255,0,62,1156,250.0,5047
933,1,0,4.5,549,0,30,773,400.0,5047
934,1,0,4.1,775,0,62,1597,300.0,5047
936,1,0,3.6,208,28,72,285,300.0,4865
937,1,0,4.1,739,28,29,565,500.0,4664
938,1,0,3.8,310,3,62,1156,400.0,1115
940,1,0,4.0,126,0,62,1156,150.0,1919
941,1,0,4.1,427,3,72,1392,500.0,1891
942,1,0,4.0,197,0,62,1156,300.0,5047
943,1,0,4.1,601,0,62,1477,700.0,4809
944,1,0,3.9,488,28,72,273,400.0,1143
945,1,0,4.0,396,3,62,1589,400.0,5047
946,1,0,3.6,474,0,62,1235,450.0,5047
947,1,0,2.9,172,0,62,1196,300.0,3205
948,1,0,3.1,175,3,62,42,250.0,5047
949,1,0,4.0,939,0,20,558,600.0,5047
950,1,0,3.9,173,0,62,1461,250.0,4900
951,1,0,3.9,77,3,62,1156,400.0,356
952,1,0,3.9,326,0,13,1195,200.0,5047
953,1,0,3.3,212,28,62,236,350.0,1286
954,1,0,4.1,464,0,62,1179,300.0,5047
955,1,0,3.3,628,3,29,923,450.0,4150
956,1,0,3.6,518,28,20,1589,400.0,2853
957,1,0,3.9,70,3,30,767,350.0,597
958,1,0,3.9,62,28,62,324,300.0,1093
961,1,0,4.4,819,30,30,956,400.0,5047
965,1,1,4.2,1964,3,20,87,1000.0,460
967,1,0,4.0,138,3,29,235,650.0,1985
968,1,0,3.3,455,3,20,50,550.0,2414
971,1,0,3.8,181,3,41,1181,600.0,3670
974,1,0,3.6,43,28,62,311,300.0,824
975,1,0,2.7,159,28,62,1465,750.0,4226
984,1,0,3.2,166,3,62,1507,600.0,5047
986,1,0,3.7,128,3,72,282,400.0,2775
989,1,0,2.9,126,0,62,565,300.0,553
991,1,0,4.0,952,30,62,1355,400.0,1983
993,1,0,3.8,472,3,62,323,600.0,1824
994,1,1,4.0,739,3,20,296,800.0,2988
996,1,0,3.9,255,0,20,50,500.0,1108
997,1,0,4.0,1974,28,20,294,800.0,4695
1000,1,1,4.2,1428,28,20,64,800.0,1381
1008,1,0,4.0,332,28,62,1589,300.0,5047
1009,1,1,4.0,199,28,62,1476,700.0,2228
1013,1,0,3.9,437,28,62,322,400.0,672
1014,1,0,3.8,207,3,20,237,700.0,945
1015,1,1,4.4,4381,28,22,1468,600.0,5047
1016,1,0,3.8,55,3,62,1589,300.0,5047
1018,1,0,4.0,597,3,62,1156,400.0,1566
1022,1,0,3.0,102,0,20,1589,600.0,5047
1023,1,0,3.9,189,0,62,256,300.0,1189
1024,1,0,3.7,131,28,13,504,400.0,5047
1025,1,0,4.2,373,28,20,266,750.0,5047
1026,1,0,3.9,435,0,20,197,650.0,3015
1028,1,0,4.1,292,0,20,250,700.0,5047
1029,1,0,3.6,137,3,62,84,300.0,5047
1030,1,0,3.2,133,3,20,1209,500.0,5047
1031,1,0,3.9,37,28,72,1518,250.0,3881
1032,1,0,3.7,170,28,62,862,200.0,5047
1034,1,0,3.6,794,3,20,286,550.0,4203
1035,1,0,4.6,404,3,20,0,1000.0,5047
1040,1,1,3.9,561,3,20,1156,900.0,5047
1041,1,1,3.9,486,0,13,710,700.0,5047
1045,1,0,3.9,320,3,20,1196,650.0,2512
1046,1,0,4.1,237,28,30,791,500.0,2644
1049,1,1,3.9,1227,3,20,116,900.0,1175
1051,1,0,4.0,95,3,29,1113,600.0,4932
1052,1,1,4.1,1538,28,20,165,1000.0,2491
1053,1,0,3.7,110,3,20,43,800.0,3526
1055,1,0,4.1,381,0,62,84,250.0,4064
1058,1,0,3.9,251,3,29,1190,500.0,1030
1059,1,0,3.0,353,28,62,1285,400.0,5047
1060,1,0,4.0,205,28,29,1181,450.0,2037
1061,1,0,3.9,183,0,62,868,250.0,4679
1062,1,0,3.9,99,3,30,956,400.0,5047
1064,1,0,4.1,260,28,62,1156,300.0,5047
1065,1,0,3.9,355,0,62,1196,400.0,5047
1066,1,0,4.1,83,0,62,856,400.0,5047
1067,1,0,2.5,321,28,62,1241,400.0,3392
1068,1,0,3.9,362,0,20,1156,600.0,5047
1069,1,1,4.2,2166,28,60,10,1200.0,1767
1072,1,0,4.0,182,28,69,1121,400.0,5047
1076,1,1,3.8,500,3,20,1437,1000.0,5047
1078,1,0,4.0,532,3,20,610,800.0,5047
1081,1,1,3.5,551,3,20,1236,600.0,5047
1083,1,0,4.2,421,3,20,604,700.0,5047
1086,1,0,3.7,662,28,20,201,650.0,5047
1088,1,0,3.8,54,3,62,300,500.0,3784
1089,1,0,4.1,92,0,62,537,300.0,922
1093,1,0,3.7,36,28,29,282,600.0,728
1096,1,0,4.2,2350,28,20,1156,800.0,5047
1099,1,0,3.9,49,3,13,332,600.0,5047
1100,1,0,3.7,184,0,62,858,400.0,5047
1101,1,1,3.6,225,3,20,286,700.0,4382
1104,1,0,4.0,35,0,32,775,300.0,497
1107,1,0,4.0,869,0,29,250,500.0,1288
1109,1,0,4.0,153,28,62,1637,200.0,5047
1110,1,0,3.7,139,3,62,1268,400.0,5047
1113,1,0,3.7,181,3,29,282,500.0,5047
1114,1,0,3.9,669,0,20,1156,500.0,4387
1115,1,0,3.7,168,3,62,1110,600.0,5047
1118,1,0,3.8,170,3,62,1256,250.0,5047
1119,1,0,4.0,112,28,62,1649,200.0,5047
1121,1,0,3.8,58,0,62,203,300.0,3811
1124,1,0,4.0,167,30,62,1589,400.0,5047
1127,1,0,3.9,85,28,62,1490,300.0,5047
1128,1,0,2.6,473,0,62,1002,600.0,902
1131,1,0,3.7,217,28,20,1423,500.0,5047
1133,1,0,3.6,192,0,29,917,450.0,5047
1135,1,1,4.2,611,0,21,141,1500.0,1777
1139,1,0,4.0,166,3,29,1465,750.0,1723
1140,1,0,4.1,46,28,13,502,600.0,5047
1143,1,1,4.4,2233,3,21,744,1200.0,5047
1144,1,0,4.0,107,0,62,1156,300.0,5047
1145,1,0,4.2,306,0,29,1045,600.0,5047
1148,1,1,3.8,756,28,20,1156,1000.0,5047
1151,1,1,4.4,4309,28,52,625,1600.0,5047
1152,1,0,4.0,212,3,62,1156,400.0,5047
1153,1,0,2.9,153,3,62,197,600.0,5047
1154,1,0,4.0,827,0,20,1490,500.0,5047
1156,1,0,4.0,256,3,62,322,500.0,5047
1158,1,0,3.9,40,3,41,442,400.0,5047
1159,1,0,3.9,73,3,72,1578,400.0,5047
1160,1,0,4.2,169,28,13,361,600.0,5047
1162,1,0,4.1,586,28,20,558,700.0,5047
1163,1,0,3.5,221,0,70,1119,400.0,5047
1165,1,0,3.5,177,0,62,203,500.0,5047
1166,1,0,3.9,347,28,20,609,600.0,5047
1167,1,0,3.0,347,3,62,1474,800.0,3125
